id;label;dateTimeLocal;dateTimeUTC
0;ROSEDALE_P1_201901041439_MGA94_55;4/1/2019 14:39;4/1/2019 03:39
1;ROSEDALE_1_P1_201901041446_MGA94_55;4/1/2019 14:46;4/1/2019 03:46
2;ROSEDALE_3_P1_201901041501_MGA94_55;4/1/2019 15:01;4/1/2019 04:01
3;POINT_H_62_P1_201901162128_MGA94_55;16/1/2019 21:28;16/1/2019 10:28
4;NUNNETT_73_P1_201901171134_MGA94_55;17/1/2019 11:34;17/1/2019 00:34
5;NUNNETT_88_P1_201901171656_MGA94_55;17/1/2019 16:56;17/1/2019 05:56
6;NUNNETT_96_P1_201901172230_MGA94_55;17/1/2019 22:30;17/1/2019 11:30
7;NUNNETT_107_P1_201901181517_MGA94_55;18/1/2019 15:17;18/1/2019 04:17
8;NUNNETT_121_P1_201901191642_MGA94_55;19/1/2019 16:42;19/1/2019 05:42
9;NUNNETT_128_P1_201901192201_MGA94_55;19/1/2019 22:01;19/1/2019 11:01
10;NUNNETT_173_P1_201901251120_MGA94_55;25/1/2019 11:20;25/1/2019 00:20
11;NUNNETT_174_P1_201901251128_MGA94_55;25/1/2019 11:28;25/1/2019 00:28
12;NUNNETT_175_P1_201901251137_MGA94_55;25/1/2019 11:37;25/1/2019 00:37
13;NUNNETT_176_P1_201901251157_MGA94_55;25/1/2019 11:57;25/1/2019 00:57
14;NUNNETT_177_P1_201901251211_MGA94_55;25/1/2019 12:11;25/1/2019 01:11
15;NUNNETT_179_P1_201901251234_MGA94_55;25/1/2019 12:34;25/1/2019 01:34
16;NUNNETT_180_P1_201901251246_MGA94_55;25/1/2019 12:46;25/1/2019 01:46
17;NUNNETT_181_P1_201901251254_MGA94_55;25/1/2019 12:54;25/1/2019 01:54
18;NUNNETT_182_P1_201901251321_MGA94_55;25/1/2019 13:21;25/1/2019 02:21
19;NUNNETT_183_P1_201901251342_MGA94_55;25/1/2019 13:42;25/1/2019 02:42
20;NUNNETT_184_P1_201901251400_MGA94_55;25/1/2019 14:00;25/1/2019 03:00
21;NUNNETT_185_P1_201901251419_MGA94_55;25/1/2019 14:19;25/1/2019 03:19
22;NUNNETT_186_P1_201901251432_MGA94_55;25/1/2019 14:32;25/1/2019 03:32
23;ABERFELDY_WEST_200_P1_201901260955_MGA94_55;26/1/2019 09:55;25/1/2019 22:55
24;SUCKLINGS_RD_203_P1_201901261039_MGA94_55;26/1/2019 10:39;25/1/2019 23:39
25;SUCKLINGS_JIM_TRACK__CREAM_CAN_HILL_205_P1_201901261050_MGA94_55;26/1/2019 10:50;25/1/2019 23:50
26;ABERFELDY_WEST_214_P1_201901261750_MGA94_55;26/1/2019 17:50;26/1/2019 06:50
27;CREAM_JIM_JORDAN_217_P1_201901262218_MGA94_55;26/1/2019 22:18;26/1/2019 11:18
28;SUCKLINGS_RD_KNAPPING_TRACK_226_P1_201901271405_MGA94_55;27/1/2019 14:05;27/1/2019 03:05
29;JORDAN_231_P1_201901271500_MGA94_55;27/1/2019 15:00;27/1/2019 04:00
30;JORDAN_233_P1_201901271511_MGA94_55;27/1/2019 15:11;27/1/2019 04:11
31;JORDAN_234_P1_201901271901_MGA94_55;27/1/2019 19:01;27/1/2019 08:01
32;JORDAN_264_P1_201901301524_MGA94_55;30/1/2019 15:24;30/1/2019 04:24
33;MCCALLISTER79_LA_TROBE_97_266_P1_201901301552_MGA94_55;30/1/2019 15:52;30/1/2019 04:52
34;LA_TROBE_97_MCCALLISTER_79_268_P1_201901301611_MGA94_55;30/1/2019 16:11;30/1/2019 05:11
35;MCCALLISTER_79_LA_TROBE_97_269_P1_201901301624_MGA94_55;30/1/2019 16:24;30/1/2019 05:24
36;WALHALLA_295_P1_201902011156_MGA94_55;1/2/2019 11:56;1/2/2019 00:56
37;JORDAN_310_P1_201902012046_MGA94_55;1/2/2019 20:46;1/2/2019 09:46
38;WALHALLA_339_P1_201902030520_MGA94_55;3/2/2019 05:20;2/2/2019 18:20
39;WALHALLA_346_P1_201902031122_MGA94_55;3/2/2019 11:22;3/2/2019 00:22
40;WALHALLA_352_P1_201902031612_MGA94_55;3/2/2019 16:12;3/2/2019 05:12
41;WALHALLA_354_P1_201902031637_MGA94_55;3/2/2019 16:37;3/2/2019 05:37
42;WALHALLA_362_P1_201902040015_MGA94_55;4/2/2019 00:15;3/2/2019 13:15
43;WALHALLA_363_P1_201902040024_MGA94_55;4/2/2019 00:24;3/2/2019 13:24
44;WALHALLA_368_P1_201902040621_MGA94_55;4/2/2019 06:21;3/2/2019 19:21
45;WALHALLA_373_P1_201902040748_MGA94_55;4/2/2019 07:48;3/2/2019 20:48
46;WALHALLA_378_P1_201902041304_MGA94_55;4/2/2019 13:04;4/2/2019 02:04
47;WALHALLA_379_P1_201902041319_MGA94_55;4/2/2019 13:19;4/2/2019 02:19
48;WALHALLA_380_P1_201902061347_MGA94_55;6/2/2019 13:47;6/2/2019 02:47
49;WALHALLA_381_P1_201902061356_MGA94_55;6/2/2019 13:56;6/2/2019 02:56
50;WALHALLA_397_P1_201902251311_MGA94_55;25/2/2019 13:11;25/2/2019 02:11
51;WALHALLA_398_P1_201902251323_MGA94_55;25/2/2019 13:23;25/2/2019 02:23
52;JORDAN_399_P1_201902251330_MGA94_55;25/2/2019 13:30;25/2/2019 02:30
53;JORDAN_400_P1_201902251339_MGA94_55;25/2/2019 13:39;25/2/2019 02:39
54;WALHALLA_401_P1_201902251342_MGA94_55;25/2/2019 13:42;25/2/2019 02:42
55;WALHALLA_402_P1_201902251413_MGA94_55;25/2/2019 14:13;25/2/2019 03:13
56;WALHALLA_413_P1_201902261957_MGA94_55;26/2/2019 19:57;26/2/2019 08:57
57;WALHALLA_414_P1_201902262006_MGA94_55;26/2/2019 20:06;26/2/2019 09:06
